member_id,full_name,age,membership_type,months_as_member,avg_weekly_attendance,avg_points_per_session,attendance_trend,points_trend,days_since_last_visit,churn
361,Olivia White,50,Premium,19,3.25,47.76,increasing,decreasing,15,0
362,Jack Lee,53,Premium,2,1.2,71.69,decreasing,decreasing,25,1
363,Lucas Sanchez,20,Basic,10,2.46,60.25,decreasing,stable,4,0
364,Jack Brown,26,Basic,25,0.71,79.28,decreasing,stable,8,0
365,Sebastian Davis,25,Unlimited,20,2.73,63.85,increasing,increasing,45,1
366,Jack Ramirez,50,Basic,19,1.52,66.39,decreasing,increasing,39,0
367,Victoria Rodriguez,23,Unlimited,23,3.52,48.1,increasing,stable,13,0
368,Hannah Clark,58,Premium,24,1.02,42.83,stable,decreasing,43,1
369,Amelia Rodriguez,56,Basic,11,2.94,97.91,decreasing,decreasing,41,1
370,Grace Lee,21,Premium,34,3.72,71.95,stable,decreasing,29,0
371,Abigail Gonzalez,30,Premium,28,1.47,76.07,stable,decreasing,51,1
372,Jack Thomas,19,Basic,5,1.64,56.32,increasing,decreasing,51,1
373,Owen Gonzalez,22,Unlimited,5,1.56,83.13,stable,increasing,25,0
374,Lily Lewis,44,Premium,21,2.01,80.43,stable,decreasing,52,1
375,William Moore,49,Basic,12,3.02,57.96,stable,stable,44,0
376,James Anderson,38,Premium,4,1.93,54.11,decreasing,increasing,28,0
377,Jackson Johnson,25,Unlimited,20,1.38,59.01,decreasing,decreasing,18,1
378,Alexander White,55,Basic,25,0.48,69.58,decreasing,decreasing,46,1
379,Theodore Moore,25,Unlimited,14,4.1,72.51,stable,increasing,7,0
380,James Thompson,20,Basic,11,4.18,70.58,stable,increasing,22,0
381,Grace Perez,20,Premium,32,3.06,89.48,decreasing,stable,52,1
382,Liam Moore,39,Premium,11,1.69,59.28,decreasing,stable,41,1
383,Ella Anderson,23,Basic,18,3.25,53.7,stable,decreasing,34,0
384,Emma Lee,19,Basic,27,3.45,70.0,increasing,increasing,30,0
385,Sebastian Harris,40,Premium,18,2.25,44.6,increasing,increasing,52,0
386,Michael Clark,19,Premium,23,2.54,80.44,stable,increasing,34,0
387,Mateo Taylor,55,Premium,11,3.73,71.47,stable,increasing,31,0
388,Ava Smith,34,Basic,21,0.86,64.93,decreasing,increasing,57,1
389,Chloe Rodriguez,52,Unlimited,5,3.5,64.1,increasing,decreasing,4,0
390,Lily Smith,51,Premium,23,2.19,83.65,increasing,stable,15,0
391,Daniel Thomas,40,Unlimited,25,1.39,83.17,stable,stable,16,0
392,William Ramirez,47,Basic,10,1.47,66.3,stable,increasing,31,1
393,Amelia Jones,25,Premium,22,1.64,78.88,increasing,increasing,37,0
394,Charlotte Jones,39,Premium,19,1.29,82.95,stable,decreasing,57,1
395,Aria Williams,53,Basic,1,4.27,75.03,stable,stable,31,1
396,Ethan Jones,22,Premium,7,2.99,66.92,decreasing,decreasing,51,1
397,Victoria Martinez,30,Basic,4,3.56,75.72,stable,stable,19,0
398,Alexander Jackson,46,Premium,1,3.06,54.41,stable,stable,47,0
399,Amelia Lee,48,Premium,15,2.56,71.07,stable,stable,55,1
400,Sophia Rodriguez,33,Basic,12,2.57,66.5,decreasing,stable,1,0
401,Liam Jackson,59,Premium,22,2.1,64.15,increasing,decreasing,19,0
402,Ava Brown,47,Premium,22,2.18,44.1,decreasing,increasing,46,1
403,Liam Taylor,33,Basic,17,1.09,54.59,stable,stable,17,0
404,Zoey Johnson,29,Unlimited,29,3.58,62.71,decreasing,increasing,0,1
405,Jack Davis,34,Unlimited,14,0.69,83.43,decreasing,stable,57,1
406,Scarlett Sanchez,33,Premium,20,1.44,74.29,stable,decreasing,28,0
407,Chloe Perez,29,Basic,33,4.51,84.1,stable,stable,28,0
408,Oliver Clark,25,Premium,15,2.64,88.64,increasing,stable,18,0
409,Olivia Smith,37,Premium,12,2.68,74.94,decreasing,decreasing,43,1
410,James Robinson,20,Basic,20,3.14,72.1,stable,stable,39,1
411,Theodore Clark,33,Premium,30,0.96,55.41,stable,increasing,5,1
412,Amelia Thomas,47,Premium,3,1.11,99.8,decreasing,increasing,43,1
413,Ethan Anderson,40,Premium,28,2.06,48.73,decreasing,decreasing,38,1
414,Victoria Lee,45,Premium,26,1.6,71.78,increasing,decreasing,49,1
415,Sophia Johnson,57,Premium,30,2.43,82.49,stable,stable,53,1
416,Emma Jackson,22,Unlimited,13,2.99,82.7,stable,stable,45,0
417,Scarlett Garcia,37,Basic,13,3.89,52.67,stable,decreasing,7,0
418,Chloe Garcia,57,Premium,2,3.31,63.7,stable,increasing,23,0
419,Chloe Moore,18,Unlimited,2,1.51,58.02,stable,stable,19,0
420,Theodore Anderson,47,Premium,26,2.13,40.29,stable,increasing,53,1
421,Mateo Jackson,38,Premium,11,1.85,71.95,decreasing,decreasing,13,0
422,Chloe Martin,37,Premium,8,1.48,59.24,increasing,increasing,4,0
423,Aria Smith,23,Premium,22,1.26,92.58,stable,stable,40,1
424,Logan Anderson,39,Unlimited,20,4.16,79.23,increasing,increasing,39,0
425,Theodore Thompson,35,Premium,8,2.51,70.62,increasing,stable,33,0
426,Amelia Jones,25,Unlimited,29,2.28,62.91,increasing,decreasing,59,1
427,Owen Brown,56,Basic,26,2.98,71.73,stable,stable,15,0
428,Alexander White,49,Basic,30,3.03,66.16,decreasing,stable,44,1
429,Amelia Martinez,50,Premium,17,3.62,71.04,increasing,stable,6,0
430,Amelia Ramirez,33,Basic,20,1.76,98.52,increasing,stable,15,0
431,Abigail White,29,Basic,16,2.9,54.03,decreasing,decreasing,6,1
432,James Johnson,55,Basic,7,1.59,67.47,increasing,increasing,26,0
433,William Lee,51,Basic,16,2.31,80.6,decreasing,decreasing,13,1
434,Noah Gonzalez,31,Basic,27,2.56,64.0,increasing,increasing,13,0
435,Emma Jackson,53,Unlimited,23,2.65,93.71,decreasing,increasing,43,0
436,Ethan Thompson,50,Basic,24,2.61,80.18,stable,stable,32,1
437,Mia Hernandez,40,Premium,9,3.3,59.22,decreasing,stable,32,0
438,Mia Davis,19,Premium,35,1.9,73.06,decreasing,stable,43,1
439,Elijah Davis,58,Unlimited,20,2.68,59.43,stable,decreasing,19,0
440,Elijah White,38,Basic,17,1.74,58.05,increasing,increasing,52,1
441,Jackson Williams,19,Unlimited,31,5.42,67.9,decreasing,increasing,46,1
442,Ella Williams,44,Premium,8,1.59,88.96,stable,decreasing,35,0
443,Mateo Lewis,26,Premium,15,1.8,81.18,increasing,decreasing,6,0
444,Ella Moore,18,Premium,31,3.38,69.66,increasing,increasing,31,1
445,Evelyn Lee,28,Unlimited,30,2.07,81.72,decreasing,stable,47,1
446,James Moore,20,Basic,20,3.38,74.03,increasing,stable,2,0
447,Jack Martinez,40,Premium,12,2.65,52.45,stable,decreasing,38,1
448,Michael Lee,43,Premium,17,2.1,67.82,stable,decreasing,28,0
449,William Smith,21,Premium,30,1.75,68.9,decreasing,decreasing,23,1
450,James Rodriguez,35,Unlimited,29,1.71,81.43,decreasing,decreasing,21,0
451,Olivia Sanchez,23,Basic,19,2.11,61.5,decreasing,increasing,5,1
452,Chloe Taylor,52,Unlimited,11,2.33,56.31,increasing,decreasing,47,1
453,Sophia Sanchez,39,Basic,34,1.67,69.32,decreasing,stable,23,0
454,Mateo Rodriguez,32,Basic,7,2.39,60.32,increasing,increasing,39,0
455,Sebastian Harris,39,Basic,34,1.41,65.15,stable,stable,22,0
456,Michael Anderson,54,Basic,20,3.26,68.79,stable,decreasing,53,1
457,Theodore Hernandez,59,Premium,24,3.45,64.25,increasing,decreasing,37,1
458,Amelia Sanchez,29,Basic,10,1.8,84.45,decreasing,increasing,9,0
459,Hannah Smith,59,Basic,32,1.74,91.21,increasing,decreasing,15,0
460,Lucas Taylor,55,Unlimited,15,2.68,82.94,stable,decreasing,10,0
461,Lily Lewis,35,Unlimited,20,3.77,43.43,decreasing,increasing,31,1
462,Isabella Anderson,52,Unlimited,3,3.99,60.37,decreasing,stable,44,1
463,Michael Wilson,47,Unlimited,8,1.1,67.32,increasing,decreasing,5,1
464,Sebastian Ramirez,41,Premium,23,3.51,42.31,stable,stable,23,0
465,Ethan Wilson,59,Basic,11,2.44,56.86,decreasing,increasing,32,1
466,Logan Johnson,47,Basic,8,2.46,67.13,stable,decreasing,52,0
467,Sebastian Wilson,31,Premium,29,3.0,63.27,stable,decreasing,50,0
468,Benjamin Williams,23,Basic,30,2.02,70.13,increasing,stable,11,0
469,Ethan Wilson,20,Premium,10,3.6,49.29,stable,decreasing,55,1
470,Harper Sanchez,33,Basic,28,3.92,63.1,decreasing,stable,26,0
471,Aria Williams,24,Basic,13,3.96,72.28,stable,increasing,37,1
472,Isabella Harris,31,Premium,32,0.66,70.15,stable,stable,17,0
473,Victoria Ramirez,26,Premium,26,2.27,76.7,stable,stable,44,0
474,Alexander Miller,32,Premium,22,0.56,75.83,stable,decreasing,38,1
475,Amelia Miller,38,Premium,4,1.73,63.89,increasing,increasing,54,0
476,Michael Sanchez,52,Basic,31,0.1,71.8,increasing,stable,12,0
477,Jackson Taylor,19,Basic,18,2.95,58.0,stable,stable,52,0
478,Ava Martin,44,Unlimited,24,2.72,65.95,stable,decreasing,39,1
479,Jackson Brown,19,Premium,23,2.07,54.17,stable,increasing,29,0
480,Alexander Williams,52,Basic,22,1.71,85.98,stable,increasing,52,0
481,Harper Anderson,35,Unlimited,2,2.81,65.9,stable,increasing,48,0
482,Hannah Anderson,31,Basic,31,1.49,85.96,increasing,decreasing,40,1
483,Michael Johnson,37,Premium,11,1.42,74.67,decreasing,increasing,51,1
484,Lucas Davis,35,Basic,28,1.3,56.72,stable,increasing,12,0
485,Evelyn Martinez,27,Premium,32,2.3,73.77,increasing,increasing,33,0
486,Victoria Garcia,42,Premium,5,1.92,82.15,increasing,decreasing,35,0
487,Sebastian Johnson,19,Basic,10,2.12,68.84,decreasing,increasing,29,0
488,William Jones,42,Unlimited,24,3.02,71.11,increasing,stable,24,0
489,Grace Lee,50,Premium,35,3.46,61.73,decreasing,increasing,1,0
490,Michael Lee,53,Basic,23,3.95,70.36,increasing,stable,35,0
491,William Garcia,48,Basic,17,2.56,73.57,decreasing,decreasing,17,1
492,Elijah Robinson,31,Basic,1,2.85,61.32,decreasing,stable,4,0
493,Emma Robinson,18,Basic,31,2.69,53.81,stable,decreasing,18,0
494,Theodore White,33,Premium,31,0.83,89.32,increasing,decreasing,41,0
495,Henry Thompson,20,Unlimited,34,2.13,79.06,increasing,stable,17,0
496,Oliver Jackson,52,Premium,9,2.13,61.79,stable,decreasing,56,0
497,Charlotte Davis,58,Basic,22,1.99,73.29,stable,decreasing,31,0
498,Victoria Brown,23,Basic,13,2.46,47.82,increasing,decreasing,20,1
499,Logan Garcia,42,Basic,25,2.28,40.34,increasing,stable,9,1
500,Noah Martin,30,Premium,18,1.51,86.26,stable,stable,36,1
501,Jack Hernandez,51,Premium,12,2.35,73.44,stable,stable,48,0
502,Elijah Anderson,25,Basic,17,1.86,69.28,increasing,decreasing,21,0
503,William Perez,38,Premium,15,0.0,73.49,increasing,increasing,12,0
504,Theodore White,51,Unlimited,15,1.1,100.0,decreasing,increasing,54,1
505,Aria Jackson,21,Premium,15,2.59,83.04,stable,stable,16,0
506,Noah Anderson,42,Unlimited,13,3.59,54.32,decreasing,increasing,8,0
507,Emma Davis,32,Premium,17,0.07,44.79,stable,stable,23,1
508,Sebastian Jackson,21,Premium,32,1.63,85.82,increasing,increasing,43,0
509,James Garcia,29,Premium,9,2.93,82.84,stable,stable,13,0
510,Sebastian Perez,49,Premium,20,3.38,78.63,stable,decreasing,45,1
511,Elijah Jackson,49,Basic,26,2.08,57.81,decreasing,stable,7,0
512,Abigail Smith,45,Basic,27,1.82,75.45,stable,decreasing,54,1
513,Abigail Taylor,30,Basic,21,3.72,59.15,increasing,increasing,36,1
514,Olivia Anderson,48,Premium,18,3.3,79.94,decreasing,increasing,18,0
515,Liam Sanchez,31,Basic,13,3.36,84.74,stable,decreasing,27,0
516,Sophia Garcia,37,Unlimited,16,2.03,61.85,decreasing,decreasing,45,1
517,Victoria Robinson,35,Premium,9,3.61,86.98,decreasing,stable,40,1
518,Emma Brown,46,Premium,12,0.55,71.72,increasing,decreasing,29,1
519,Ava Hernandez,23,Basic,19,3.63,77.38,stable,decreasing,6,0
520,Oliver Smith,49,Unlimited,7,2.43,50.36,stable,decreasing,58,1
521,William Moore,46,Unlimited,35,2.63,73.48,stable,stable,57,0
522,Alexander Jones,19,Premium,18,1.55,59.87,stable,increasing,25,0
523,Ethan Martinez,40,Basic,16,0.69,77.12,decreasing,stable,39,1
524,Noah Gonzalez,36,Premium,4,2.61,92.01,decreasing,stable,45,1
525,Zoey Johnson,48,Basic,25,3.05,74.34,increasing,increasing,53,0
526,Abigail Smith,22,Basic,32,3.2,56.49,increasing,decreasing,59,1
527,Victoria Rodriguez,36,Premium,13,3.09,79.4,stable,increasing,45,1
528,Amelia Rodriguez,51,Premium,17,2.87,76.03,increasing,stable,10,0
529,Emma Anderson,27,Premium,6,1.58,100.0,decreasing,stable,13,0
530,Logan Garcia,42,Unlimited,19,3.27,73.81,stable,decreasing,20,0
531,Lily Robinson,19,Premium,13,1.46,61.22,stable,stable,7,0
532,Charlotte Taylor,28,Premium,26,3.61,81.56,increasing,decreasing,2,0
533,James Robinson,48,Basic,14,2.42,68.08,decreasing,stable,27,0
534,Sophia Lee,32,Unlimited,31,2.45,71.2,increasing,decreasing,28,0
535,Emma Rodriguez,26,Basic,4,3.37,56.07,decreasing,decreasing,22,0
536,Chloe Lopez,40,Unlimited,8,3.5,68.16,stable,stable,17,0
537,Lily Williams,36,Unlimited,25,3.27,70.46,decreasing,decreasing,34,1
538,Liam Davis,26,Basic,13,1.68,68.07,stable,increasing,12,0
539,Michael Ramirez,52,Premium,32,3.26,61.14,increasing,stable,11,0
540,Owen Davis,38,Unlimited,28,1.69,74.32,decreasing,increasing,46,0
541,Emma Rodriguez,26,Premium,30,3.29,56.15,increasing,increasing,49,1
542,Victoria Wilson,45,Unlimited,3,1.07,52.62,stable,decreasing,4,1
543,Theodore Williams,24,Unlimited,28,2.41,80.64,increasing,increasing,38,0
544,Daniel Jones,33,Premium,3,1.68,79.27,decreasing,stable,10,0
545,James Jackson,33,Basic,34,3.37,50.39,decreasing,stable,57,1
546,Sophia Sanchez,50,Unlimited,16,3.62,42.56,stable,stable,58,1
547,Elijah Harris,21,Premium,22,2.7,54.87,stable,stable,10,0
548,Jackson Moore,21,Basic,32,2.67,68.08,decreasing,decreasing,58,1
549,Zoey Davis,56,Basic,8,3.2,87.32,increasing,increasing,46,0
550,Scarlett Davis,57,Premium,8,3.62,67.71,decreasing,stable,41,0
551,Sophia Jackson,34,Unlimited,6,2.54,58.46,increasing,stable,46,1
552,Aria Smith,54,Unlimited,14,2.0,72.23,decreasing,stable,30,0
553,Ethan Anderson,56,Premium,32,3.15,68.29,decreasing,stable,30,0
554,Grace Harris,46,Basic,35,0.64,49.28,decreasing,decreasing,12,1
555,Amelia Smith,53,Basic,10,3.41,49.37,stable,stable,13,0
556,Noah Wilson,55,Unlimited,3,1.79,49.78,stable,stable,48,1
557,Zoey Davis,56,Basic,12,2.26,100.0,stable,increasing,44,0
558,Scarlett Jackson,54,Basic,31,3.42,82.9,increasing,stable,41,1
559,William Garcia,52,Basic,29,2.08,61.09,stable,decreasing,24,0
560,Oliver Miller,24,Premium,5,3.15,86.62,stable,increasing,32,0
561,Lucas Martinez,44,Unlimited,25,3.64,61.48,decreasing,stable,32,1
562,Isabella Anderson,45,Basic,31,2.61,86.13,stable,decreasing,14,0
563,Owen Smith,39,Premium,21,2.81,71.2,increasing,stable,15,0
564,Theodore Miller,31,Premium,20,2.38,60.12,stable,increasing,43,0
565,Mateo Brown,24,Unlimited,22,2.62,80.2,stable,stable,57,1
566,Owen Garcia,54,Basic,4,1.38,72.06,increasing,increasing,55,1
567,Grace Lewis,39,Premium,13,2.21,75.97,increasing,decreasing,37,1
568,Victoria Clark,22,Basic,20,1.21,73.23,decreasing,increasing,5,1
569,Grace Robinson,19,Unlimited,13,1.6,73.08,stable,decreasing,43,1
570,Elijah Perez,44,Premium,17,0.5,82.01,stable,stable,24,0
571,Noah Martinez,38,Basic,33,2.76,100.0,stable,decreasing,14,0
572,James Clark,55,Premium,1,4.19,88.73,decreasing,increasing,3,1
573,Alexander Smith,32,Premium,15,2.04,73.29,increasing,stable,55,0
574,Aria Gonzalez,38,Basic,13,3.47,65.34,decreasing,stable,3,0
575,Charlotte Anderson,27,Unlimited,17,3.63,66.99,increasing,stable,29,0
576,Hannah Gonzalez,40,Basic,24,1.3,51.16,decreasing,stable,33,1
577,Logan Martin,56,Premium,8,1.52,79.97,stable,decreasing,26,0
578,Isabella Lewis,22,Premium,27,3.49,54.78,stable,decreasing,30,0
579,Lucas Jones,18,Premium,23,2.41,64.41,stable,increasing,55,1
580,Owen Anderson,30,Basic,8,1.21,80.06,stable,increasing,31,1
581,Elijah Lopez,38,Unlimited,8,1.86,66.44,increasing,decreasing,43,0
582,Noah Clark,43,Premium,26,2.92,62.62,decreasing,increasing,38,0
583,Charlotte Jackson,38,Premium,13,1.71,52.04,increasing,decreasing,51,1
584,Hannah Brown,35,Premium,28,0.0,88.08,decreasing,stable,8,0
585,Sebastian Hernandez,54,Premium,25,2.18,57.5,decreasing,stable,40,0
586,Mateo Jones,49,Basic,16,2.26,61.21,stable,increasing,7,0
587,Abigail Hernandez,53,Basic,2,2.51,43.12,decreasing,increasing,13,0
588,Alexander Davis,34,Unlimited,18,3.76,69.7,stable,stable,32,0
589,Aria Garcia,52,Basic,17,2.55,65.0,increasing,decreasing,22,0
590,Lucas Thompson,28,Premium,30,2.74,72.73,decreasing,decreasing,20,0
591,Sebastian Wilson,38,Unlimited,13,3.56,52.38,stable,increasing,54,0
592,Olivia Sanchez,43,Basic,32,2.51,81.01,stable,increasing,11,0
593,Ava Davis,21,Premium,29,4.64,42.41,stable,increasing,56,0
594,Harper Harris,51,Premium,30,1.24,68.62,stable,decreasing,1,0
595,Grace Anderson,35,Premium,18,1.57,71.73,decreasing,increasing,12,0
596,Zoey Ramirez,57,Basic,13,3.11,70.87,increasing,increasing,58,0
597,Olivia Lopez,52,Basic,21,3.75,72.37,stable,increasing,3,0
598,Hannah Thomas,58,Premium,30,2.3,81.83,stable,stable,19,0
599,Elijah Jones,46,Unlimited,21,1.49,89.87,stable,decreasing,49,1
600,Victoria Davis,46,Premium,17,4.26,67.67,stable,stable,50,0
601,Jack Sanchez,55,Premium,19,1.71,55.48,increasing,increasing,47,1
602,Henry Perez,59,Basic,15,2.84,78.41,increasing,stable,58,1
603,Owen Wilson,38,Premium,9,3.81,65.8,increasing,stable,13,0
604,Zoey Rodriguez,59,Basic,10,2.06,88.97,decreasing,increasing,29,0
605,Michael Hernandez,30,Unlimited,31,1.88,60.97,increasing,increasing,28,0
606,Ethan Smith,58,Unlimited,23,1.95,57.13,decreasing,stable,7,0
607,Victoria Lee,34,Premium,30,3.4,72.16,decreasing,increasing,11,1
608,Sebastian Wilson,26,Unlimited,33,3.56,43.89,decreasing,increasing,40,1
609,Hannah Perez,58,Basic,9,2.53,62.99,decreasing,stable,37,1
610,Ethan Harris,18,Premium,1,4.38,65.05,increasing,decreasing,25,0
611,Liam Perez,19,Basic,35,2.53,73.31,increasing,stable,49,0
612,Zoey Anderson,46,Unlimited,11,3.79,55.06,stable,stable,1,0
613,Daniel Anderson,50,Basic,34,2.07,56.81,increasing,stable,54,1
614,Henry Lee,27,Premium,16,4.83,87.35,decreasing,stable,39,1
615,Henry Martinez,57,Unlimited,9,4.07,69.8,stable,increasing,55,1
616,Sebastian Rodriguez,38,Basic,32,2.37,82.97,decreasing,decreasing,13,1
617,Lily Martin,45,Basic,15,3.93,61.87,increasing,increasing,5,0
618,Jackson Sanchez,28,Premium,12,3.88,69.18,decreasing,stable,41,0
619,Emma Garcia,51,Premium,33,4.05,73.22,increasing,decreasing,39,1
620,Noah Miller,25,Basic,14,0.02,96.21,stable,stable,30,0
621,Harper Clark,39,Basic,8,3.22,66.74,stable,decreasing,16,0
622,Chloe Clark,25,Basic,8,3.04,67.51,decreasing,stable,24,0
623,Amelia Hernandez,32,Unlimited,27,2.97,86.47,stable,decreasing,31,1
624,Logan Harris,34,Premium,12,2.72,64.3,decreasing,decreasing,11,1
625,Benjamin Martin,40,Basic,1,2.75,74.27,decreasing,decreasing,48,1
626,William Lee,41,Basic,11,3.78,85.16,decreasing,decreasing,12,0
627,Logan Smith,36,Basic,31,3.04,61.36,increasing,decreasing,18,0
628,Owen Hernandez,22,Basic,17,2.72,75.11,decreasing,decreasing,43,0
629,Michael Sanchez,49,Premium,33,3.64,96.18,decreasing,stable,47,1
630,Jack Moore,18,Basic,32,2.92,83.82,increasing,increasing,24,0
631,Daniel Taylor,40,Basic,29,3.01,74.27,increasing,stable,30,0
632,Benjamin Taylor,54,Premium,21,4.37,66.64,increasing,decreasing,58,1
633,Abigail Rodriguez,25,Basic,21,2.07,60.94,increasing,decreasing,36,1
634,Abigail Perez,30,Premium,23,0.98,55.18,stable,decreasing,24,0
635,Michael Ramirez,25,Premium,6,2.57,92.64,decreasing,decreasing,15,1
636,Zoey Taylor,40,Premium,22,2.71,89.73,stable,increasing,56,0
637,Benjamin Smith,18,Premium,8,3.22,60.14,stable,increasing,37,0
638,Ella Gonzalez,41,Premium,35,2.61,75.07,decreasing,stable,42,1
639,Theodore Thompson,52,Unlimited,11,3.26,71.67,increasing,increasing,48,1
640,Evelyn Robinson,41,Premium,24,5.0,87.77,decreasing,stable,57,1
641,Ella Robinson,34,Premium,21,3.3,75.74,stable,decreasing,22,0
642,Owen Taylor,22,Unlimited,2,3.48,69.66,stable,decreasing,13,1
643,Owen Robinson,37,Premium,19,2.37,61.87,stable,stable,5,0
644,Mia Davis,38,Basic,28,1.11,75.11,stable,increasing,24,1
645,Evelyn Moore,57,Basic,17,0.2,64.78,increasing,stable,22,1
646,Liam Wilson,48,Basic,6,1.98,73.31,decreasing,stable,59,0
647,Noah Perez,53,Unlimited,19,0.0,68.86,increasing,stable,42,1
648,Jack Taylor,28,Premium,28,3.01,64.41,decreasing,increasing,11,0
649,Theodore Garcia,32,Unlimited,2,2.12,55.41,stable,stable,12,0
650,Elijah Smith,36,Premium,4,1.19,77.71,increasing,increasing,35,0
651,Lucas Lewis,24,Premium,22,2.63,70.64,stable,decreasing,38,1
652,Scarlett Williams,45,Basic,26,1.76,96.81,increasing,increasing,33,1
653,Ella Martinez,22,Premium,13,2.95,54.51,decreasing,increasing,5,0
654,Alexander Jackson,22,Premium,32,3.21,79.38,decreasing,increasing,37,1
655,Chloe Ramirez,47,Unlimited,17,1.8,68.76,decreasing,stable,49,1
656,Grace Thompson,49,Basic,19,2.26,100.0,increasing,stable,51,1
657,Jack Moore,25,Premium,35,2.71,78.23,stable,decreasing,39,1
658,Benjamin Lewis,27,Premium,28,1.09,74.87,stable,stable,7,0
659,Lucas Smith,55,Premium,1,2.71,68.8,decreasing,stable,7,1
660,Oliver White,49,Premium,18,1.07,59.45,increasing,stable,39,1
661,Ethan Clark,45,Premium,33,3.07,74.67,stable,stable,32,1
662,Lucas Perez,34,Basic,12,2.06,49.27,stable,increasing,33,1
663,Victoria Williams,48,Premium,8,1.06,49.96,increasing,stable,43,1
664,Grace Ramirez,25,Premium,24,1.92,85.19,stable,decreasing,14,0
665,Lucas Johnson,57,Unlimited,16,1.96,43.57,stable,decreasing,35,0
666,Lily White,42,Unlimited,4,3.57,65.21,decreasing,decreasing,59,1
667,Sophia White,26,Basic,27,2.67,54.26,decreasing,increasing,56,0
668,Mia Brown,19,Basic,9,1.54,63.96,stable,increasing,34,0
669,Victoria Perez,32,Unlimited,16,4.15,72.77,stable,decreasing,45,1
670,Daniel Wilson,20,Premium,12,3.13,84.77,increasing,increasing,21,0
671,Charlotte Thompson,53,Unlimited,31,2.16,88.26,decreasing,increasing,22,0
672,Harper Miller,21,Basic,24,0.95,56.22,decreasing,increasing,39,1
673,Alexander Miller,31,Premium,14,2.08,63.01,decreasing,stable,44,1
674,Grace Thompson,58,Unlimited,25,2.28,100.0,decreasing,increasing,54,1
675,Daniel Jackson,58,Unlimited,34,2.87,66.25,stable,stable,50,0
676,Evelyn Brown,42,Basic,3,3.11,56.77,decreasing,stable,21,0
677,Owen Ramirez,27,Premium,24,3.31,59.26,stable,decreasing,4,0
678,Harper Johnson,38,Premium,9,0.89,66.34,stable,increasing,30,1
679,Liam Anderson,53,Basic,26,2.71,64.11,decreasing,stable,12,0
680,James Martin,29,Premium,20,2.34,66.48,increasing,stable,27,0
681,Emma Martinez,44,Premium,10,5.18,69.68,increasing,stable,57,1
682,Noah Williams,57,Unlimited,19,2.56,69.57,stable,stable,19,0
683,Ethan Thompson,19,Premium,3,1.88,55.67,stable,decreasing,32,1
684,Olivia Martin,30,Basic,24,2.61,75.54,decreasing,increasing,15,0
685,James Jones,49,Basic,5,2.49,71.82,increasing,decreasing,28,0
686,Aria Robinson,48,Premium,3,0.51,77.45,increasing,stable,22,0
687,Henry Johnson,33,Basic,27,2.91,44.28,increasing,increasing,23,1
688,Lily Martin,49,Premium,16,2.19,72.35,increasing,decreasing,33,0
689,Michael Lopez,49,Basic,15,2.47,40.22,increasing,stable,6,0
690,Logan Taylor,51,Unlimited,35,1.63,67.37,stable,increasing,37,1
691,Alexander Robinson,28,Unlimited,12,1.41,79.87,stable,increasing,36,1
692,Ethan Taylor,27,Premium,26,3.38,85.69,decreasing,increasing,3,0
693,Amelia Wilson,32,Unlimited,34,3.61,75.02,decreasing,stable,33,0
694,Henry Davis,34,Premium,23,2.92,80.13,stable,increasing,41,0
695,Noah Gonzalez,57,Premium,31,0.69,65.51,increasing,increasing,21,1
696,Jackson Miller,35,Basic,20,2.98,62.36,increasing,increasing,4,0
697,Henry Perez,26,Premium,12,0.7,100.0,decreasing,decreasing,49,1
698,Michael Hernandez,42,Premium,23,1.84,82.41,stable,decreasing,41,0
699,Elijah Sanchez,57,Unlimited,4,3.37,52.41,decreasing,decreasing,22,0
700,Owen Gonzalez,31,Premium,23,3.16,43.98,decreasing,increasing,53,1
701,Chloe Thompson,42,Unlimited,1,2.96,63.02,decreasing,decreasing,59,1
702,Victoria Hernandez,39,Premium,25,3.81,87.88,decreasing,stable,14,0
703,William Moore,47,Basic,2,3.06,70.73,stable,decreasing,30,0
704,Daniel Martinez,37,Unlimited,30,0.48,36.64,stable,stable,58,1
705,Hannah Rodriguez,38,Premium,3,2.13,67.34,decreasing,stable,8,0
706,Aria Johnson,49,Basic,21,2.46,69.96,stable,decreasing,42,1
707,Amelia Jones,38,Premium,25,2.34,33.76,increasing,increasing,57,0
708,Jackson Garcia,52,Basic,20,1.88,70.36,stable,stable,52,0
709,Olivia Thompson,49,Premium,22,1.47,54.8,stable,decreasing,24,1
710,Michael Lee,47,Premium,21,4.9,42.47,decreasing,decreasing,24,0
711,Mateo Harris,56,Premium,33,2.11,94.07,stable,decreasing,48,0
712,Charlotte Garcia,29,Unlimited,15,4.85,54.14,stable,stable,20,0
713,Mateo Davis,58,Premium,15,1.36,59.99,decreasing,increasing,8,0
714,Chloe Lopez,35,Basic,25,3.16,59.79,decreasing,increasing,54,1
715,Benjamin Martinez,38,Premium,21,2.73,70.03,stable,stable,47,1
716,Amelia Sanchez,30,Unlimited,24,1.58,96.49,increasing,stable,37,0
717,Daniel Ramirez,38,Basic,5,2.03,52.06,stable,increasing,21,0
718,Noah Ramirez,25,Basic,6,2.48,65.4,stable,increasing,42,1
719,Liam Jackson,57,Basic,23,1.66,71.81,increasing,stable,22,0
720,Hannah Jackson,24,Basic,4,2.24,56.97,increasing,decreasing,48,0
